category_type,category,label,samples
generator,video_mps_multiple_bitrate_814b05a6-6b16-40ea-9bd0-be10f1603cc8,spoof,1
generator,video_mps_multiple_bitrate_8194ae2c-73c2-4ce4-8fe9-ec0882475edf,spoof,1
generator,video_mps_multiple_bitrate_83733088-1406-43ca-8f5c-126e141b61ac,spoof,1
generator,video_mps_multiple_bitrate_8a4ad8b6-ac91-4d8c-9f9e-90264358f4e9,spoof,1
generator,video_mps_multiple_bitrate_8a629bc9-93de-4de6-9c43-36eda42e53cc,spoof,1
generator,video_mps_multiple_bitrate_8e71d2b2-d7f9-4edb-a71e-fad7233e3e9a,spoof,1
generator,video_mps_multiple_bitrate_8f62bfd0-bce2-4873-b321-06f251ebb4e6,spoof,1
generator,video_mps_multiple_bitrate_9d159b6b-4b71-48e6-a9af-8cf443cc3116,spoof,1
generator,video_mps_multiple_bitrate_9089d483-cc0a-429d-8ac8-e16dca79de67,spoof,1
generator,video_mps_multiple_bitrate_911da18c-8141-4955-a7f1-2e988517a5ab,spoof,1
generator,video_mps_multiple_bitrate_91e48ce3-b820-45ee-abd5-d58e7300050c,spoof,1
generator,video_mps_multiple_bitrate_9424386a-8936-4501-9ff5-628072f67931,spoof,1
generator,video_mps_multiple_bitrate_ac8db88c-4869-41c9-8628-ad093fe7f812,spoof,1
generator,video_mps_multiple_bitrate_974f224e-d5a4-4f9a-8a90-5f08838420a5,spoof,1
generator,video_mps_multiple_bitrate_977b9734-796f-4ebd-9b5d-9c66d61043ba,spoof,1
generator,video_mps_multiple_bitrate_98035380-a14b-4fad-b9aa-f345644acb19,spoof,1
generator,video_mps_multiple_bitrate_983181a1-c587-452d-b513-eecdb092dd2b,spoof,1
generator,video_mps_multiple_bitrate_983842b1-b747-4cae-b752-91d21c845a21,spoof,1
generator,video_mps_multiple_bitrate_98cd453d-13b2-4d98-b252-fc64e3e359a4,spoof,1
generator,video_mps_multiple_bitrate_9969f2f3-213a-4327-b21d-95ef3d2ff7ca,spoof,1
generator,video_mps_multiple_bitrate_9b82414b-70e0-4334-84e8-5dafbcb42e56,spoof,1
generator,video_mps_multiple_bitrate_abf85cd1-b998-4964-9eee-3d8d5d98f544,spoof,1
generator,video_mps_multiple_bitrate_c5a86274-8b86-4534-a871-a806cc5aee36,spoof,1
generator,video_mps_multiple_bitrate_ad01cbb2-091a-4c4a-9c72-7f5c8fa5056c,spoof,1
generator,video_mps_multiple_bitrate_ad674d2b-728c-4525-94b2-65dcfe3ba3fc,spoof,1
generator,video_mps_multiple_bitrate_f04f85a6-694e-4374-b759-cd7bb6cbb62d,spoof,1
generator,video_mps_multiple_bitrate_f042eee0-a160-4ef1-8edb-1b49e5d2e516,spoof,1
generator,video_mps_multiple_bitrate_eecc010d-5cb8-4b3d-a28e-75ee1efe0d95,spoof,1
generator,video_mps_multiple_bitrate_edd812d3-d181-4530-b192-cba95e968685,spoof,1
generator,video_mps_multiple_bitrate_ed9fdc65-1d17-4cd8-9fb9-96726137a301,spoof,1
generator,video_mps_multiple_bitrate_ed67dfcd-2fc2-4152-bbb9-af18276049a6,spoof,1
generator,video_mps_multiple_bitrate_ed079612-decd-415c-8bfd-d62b463ad160,spoof,1
generator,video_mps_multiple_bitrate_ec94d9f4-1976-490d-b9d7-45e7fa4c6312,spoof,1
generator,video_mps_multiple_bitrate_ec50a9bf-fc5c-4a2f-b877-fd943db48aae,spoof,1
generator,video_mps_multiple_bitrate_ebb012cd-0a61-4337-b753-76fb3e38710d,spoof,1
generator,video_mps_multiple_bitrate_eba3f768-14a0-4703-b18b-792125705959,spoof,1
generator,video_mps_multiple_bitrate_ea8dbf3a-be05-417b-93e9-94ff6fce077e,spoof,1
generator,video_mps_multiple_bitrate_ea451e38-e91f-478f-8a2c-ebd59ec68df9,spoof,1
generator,video_mps_multiple_bitrate_ea03a0a5-b8be-4a62-a12b-2a3208f0e64b,spoof,1
generator,video_mps_multiple_bitrate_e955a59c-0c69-4096-a092-408442451522,spoof,1
generator,video_mps_multiple_bitrate_f078c3a9-1c36-448b-b7da-b9cb81262b44,spoof,1
generator,video_mps_multiple_bitrate_f133c8c6-246d-4452-80f0-53ca0babd589,spoof,1
generator,video_mps_multiple_bitrate_f21e0452-0b63-4054-9dba-48766c2edb8c,spoof,1
generator,video_mps_multiple_bitrate_f85056f9-e163-4a77-932d-2adecdd8f5c5,spoof,1
generator,video_mps_multiple_bitrate_ff59dd23-6421-4d78-a93a-aeaae2578011,spoof,1
generator,video_mps_multiple_bitrate_fed96b5a-50eb-4215-82fb-f0a419568489,spoof,1
generator,video_mps_multiple_bitrate_fec7436f-aee0-4472-8ae4-9b9c26399da9,spoof,1
generator,video_mps_multiple_bitrate_fab65d6d-49d7-41b9-8cc6-7ea51ca22466,spoof,1
generator,video_mps_multiple_bitrate_f96ba9a4-3a36-4634-be47-a1fc98a8ff65,spoof,1
generator,video_mps_multiple_bitrate_f93dde9f-6fcf-4f4e-b000-cf7529aa491e,spoof,1
generator,video_mps_multiple_bitrate_f848077e-8776-4b97-b0b9-c12551ca4f69,spoof,1
generator,video_mps_multiple_bitrate_f26e37c5-c473-43bd-8fd0-4045593901d5,spoof,1
generator,video_mps_multiple_bitrate_f800748b-28cb-4a77-b412-e1b0137e9900,spoof,1
generator,video_mps_multiple_bitrate_f7c0268a-e88c-4b03-8bd6-d5dfbebec8fb,spoof,1
generator,video_mps_multiple_bitrate_f76a8685-6002-4302-977f-a88e7f6d9994,spoof,1
generator,video_mps_multiple_bitrate_f4f9d62c-6d88-4f63-b46c-4959509c1141,spoof,1
generator,video_mps_multiple_bitrate_f489174e-b130-49bc-9c95-80d4f9fbe8fe,spoof,1
generator,video_mps_multiple_bitrate_f38ed687-4468-4312-806d-1322b40d2f59,spoof,1
generator,video_mps_multiple_bitrate_e91865a8-6e64-465d-ad22-ab3d69c1626d,spoof,1
generator,video_mps_multiple_bitrate_e8e25deb-b7a1-4de3-97c9-e5f7d8169962,spoof,1
generator,video_mps_multiple_bitrate_e8398b0f-aa09-4f57-8c28-a1df2b303e0c,spoof,1
generator,video_mps_multiple_bitrate_bbfe8276-69f2-4df8-a1b3-9f93e25078b3,spoof,1
generator,video_mps_multiple_bitrate_c5264d13-22b5-4614-ac10-d8668dac271c,spoof,1
generator,video_mps_multiple_bitrate_c3f548af-3f2c-40be-8a6d-efd716c3aefc,spoof,1
generator,video_mps_multiple_bitrate_c289cecf-4c9a-4d58-8f12-0b51e9538e70,spoof,1
generator,video_mps_multiple_bitrate_c10125ac-ad51-4719-a56d-5a87d9b42c6a,spoof,1
generator,video_mps_multiple_bitrate_bf69ce4d-6b53-4426-a6f2-df70b03a5771,spoof,1
generator,video_mps_multiple_bitrate_bd717db4-7a11-4f5b-b612-ba9c1c30591f,spoof,1
generator,video_mps_multiple_bitrate_b92e2ac2-b8cf-425e-87d1-9f5fd4cfac00,spoof,1
generator,video_mps_multiple_bitrate_c8b4ee88-c1e6-415b-900a-24eb62840c44,spoof,1
generator,video_mps_multiple_bitrate_b88e66c5-e7d9-4345-a3e2-aa40459f05b0,spoof,1
generator,video_mps_multiple_bitrate_b83a41cd-bad0-410e-af9b-6a5c7c781e75,spoof,1
generator,video_mps_multiple_bitrate_b7cdd33d-861a-4297-b38d-3f86f6f76f2c,spoof,1
generator,video_mps_multiple_bitrate_b586a298-8cf4-4900-986c-55c28e5799b5,spoof,1
generator,video_mps_multiple_bitrate_b22dd6f0-af59-4d25-976b-9939e89b2416,spoof,1
generator,video_mps_multiple_bitrate_ad9b3528-ab11-453e-a260-df920cf77c38,spoof,1
generator,video_mps_multiple_bitrate_786e9e1c-0aaa-4580-94d0-2d4aee17d413,spoof,1
generator,video_mps_multiple_bitrate_c8bab5e5-403e-4883-8fe7-3f1e59e25e47,spoof,1
generator,video_mps_multiple_bitrate_e310aee4-e2d0-4b6d-a23c-0c3a217747ba,spoof,1
generator,video_mps_multiple_bitrate_d9b8fabc-bc60-4f80-9e69-5c6823aebf10,spoof,1
generator,video_mps_multiple_bitrate_e1e2f37d-e9fb-465d-9109-23609eee7a9e,spoof,1
generator,video_mps_multiple_bitrate_e0b45067-d543-4c7a-ab99-eec90c8dba2a,spoof,1
generator,video_mps_multiple_bitrate_dd824115-d826-4ab7-89c7-3da699332ff3,spoof,1
generator,video_mps_multiple_bitrate_dc3ae408-6f6d-4b79-8f8d-1e37e3182865,spoof,1
generator,video_mps_multiple_bitrate_db8663b8-b78f-4d6e-aa17-e7965318c93e,spoof,1
generator,video_mps_multiple_bitrate_da14cc06-d98e-4904-9bed-0b200f54def8,spoof,1
generator,video_mps_multiple_bitrate_d9994806-416e-4996-925f-dd052d679f6a,spoof,1
generator,video_mps_multiple_bitrate_c9513c73-2f3d-4b4b-8eb8-30f7a0c21751,spoof,1
generator,video_mps_multiple_bitrate_d92f25c5-111c-4468-a85a-3c7014ed126f,spoof,1
generator,video_mps_multiple_bitrate_d7ab6093-0feb-40f9-978d-beb013f46225,spoof,1
generator,video_mps_multiple_bitrate_d2f11e99-79fb-4b71-a161-ac4b8d1279f4,spoof,1
generator,video_mps_multiple_bitrate_d03117c0-4002-472a-b165-707213ed1b7b,spoof,1
generator,video_mps_multiple_bitrate_ce2f8d45-9126-4da7-85c4-6aef8257cf43,spoof,1
generator,video_mps_multiple_bitrate_cd33af82-fe11-4f98-a6bd-d6681c8d99ae,spoof,1
generator,video_mps_multiple_bitrate_789c060e-db8b-4734-8f6e-b90e6e702c93,spoof,1
generator,084c86a3-8b09-5dcc-b7cf-54c60bbda445,spoof,1
generator,video_mps_multiple_bitrate_77fce59a-f425-4a18-8abe-a1589b45abd2,spoof,1
generator,video_mps_multiple_bitrate_18e93d54-fe5b-49ce-bad3-b135374b706d,spoof,1
generator,video_mps_multiple_bitrate_1689451b-5c2f-43c2-a9cb-471dcfefd49b,spoof,1
generator,video_mps_multiple_bitrate_16258908-e05e-49fc-8054-cc641eabba5f,spoof,1
generator,video_mps_multiple_bitrate_15ee70c9-15f1-48f9-aa5e-f7bce8cb38b1,spoof,1
generator,video_mps_multiple_bitrate_1509bd46-aec5-4313-af6f-45650e526153,spoof,1
generator,video_mps_multiple_bitrate_149562bb-3af4-4442-95ac-3ebbf2d1c0fe,spoof,1
generator,video_mps_multiple_bitrate_142198fa-9bce-41d0-a88f-0f43565e5b83,spoof,1
generator,video_mps_multiple_bitrate_1305eba8-549a-493c-ae27-b70ffa8853e8,spoof,1
generator,video_mps_multiple_bitrate_130383ac-4fdd-42e7-abc3-53f3ad7fc8a9,spoof,1
generator,video_mps_multiple_bitrate_12cf6561-0d0c-4141-a9e7-854799f233d6,spoof,1
generator,video_mps_multiple_bitrate_122c71bb-e6d8-4335-b73f-341aacae8a7e,spoof,1
generator,video_mps_multiple_bitrate_11e57494-4796-467b-b41c-30462134687e,spoof,1
generator,video_mps_multiple_bitrate_0fcef7df-5ef9-4b5c-b20b-75f4022232bc,spoof,1
generator,video_mps_multiple_bitrate_0df509c8-f7a8-4f18-9f12-ee65ea7d72b2,spoof,1
generator,video_mps_multiple_bitrate_0df24d5d-8a3d-45fb-9e01-c6c41d6583ea,spoof,1
generator,video_mps_multiple_bitrate_0ca87343-07e6-4f5d-9f5a-30e6270ef7e4,spoof,1
generator,video_mps_multiple_bitrate_16abb0e8-8553-4f84-81c7-362ee9607b90,spoof,1
generator,video_mps_multiple_bitrate_1a433f32-76d9-4ee2-859f-2c5900844b8c,spoof,1
generator,video_mps_multiple_bitrate_09ce9be9-db46-476e-b2fc-ba52ffe6348d,spoof,1
generator,video_mps_multiple_bitrate_1a4ae0f6-0e78-447e-ade4-eb49e00be182,spoof,1
generator,video_mps_multiple_bitrate_28d1d016-082f-485d-b6ae-b6504f212787,spoof,1
generator,video_mps_multiple_bitrate_27f6c7b1-8ea8-46cb-9693-a0a22ab37132,spoof,1
generator,video_mps_multiple_bitrate_25e7dbda-7974-4e8e-b234-7ee40422fbb8,spoof,1
generator,video_mps_multiple_bitrate_242c30d2-7186-4aaf-b885-572be9eca4ee,spoof,1
generator,video_mps_multiple_bitrate_23ded6c6-7a22-4e6c-977a-9d0a2e5a1cdd,spoof,1
generator,video_mps_multiple_bitrate_22c71584-65ab-47a4-a345-d63ab243133d,spoof,1
generator,video_mps_multiple_bitrate_2205286d-1fb2-4f98-8385-01e0efef0236,spoof,1
generator,video_mps_multiple_bitrate_21f9aacf-93c1-4f0b-8ebc-656e2f1746b9,spoof,1
